index,tac_url,rgb_url
106,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_106_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_106_rgb.jpg
2101,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_2101_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_2101_rgb.jpg
894,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_894_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_894_rgb.jpg
2488,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_2488_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_2488_rgb.jpg
2803,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_2803_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_2803_rgb.jpg
627,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_627_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_627_rgb.jpg
143,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_143_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_143_rgb.jpg
2518,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_2518_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_2518_rgb.jpg
229,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_229_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_229_rgb.jpg
348,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_348_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_348_rgb.jpg
4454,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_4454_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_4454_rgb.jpg
2465,https://js1624.oss-eu-west-1.aliyuncs.com/tac/image_2465_tac.jpg,https://js1624.oss-eu-west-1.aliyuncs.com/rgb/image_2465_rgb.jpg
