setting,key,desc,image_rel,image_path,tid,intent_qtype,intent_mode,used_intent,pred_intent,gold_intent,intent_correct,answer,reference_labels,label,BLEU4,TokenF1
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,property,gold,gold,,,0,"The surface feels lined, fabric, providing a consistent and stable tactile experience.",,"smooth, glossy, patterned",0.04789232204309912,0.0
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,comparison,gold,gold,,,0,"The surface feels soft, lined, fabric. It closely matches with fabric, lined, indicating a tactile similarity.",,"smooth, glossy, patterned",0.034585921141027376,0.0
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,judgement,gold,gold,,,0,"The sample feels lined, fabric. These cues may indicate a fabric-like material.",,"smooth, glossy, patterned",0.04368583925857939,0.0
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,property,gold,gold,,,0,"The surface feels smooth, fabric, providing a consistent and stable tactile experience.",,"flat, lined, hard",0.04789232204309912,0.0
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,comparison,gold,gold,,,0,"The surface feels shiny, woven. It is similar to the glossy, woven reference tactile sample.",,"flat, lined, hard",0.03716499092256817,0.0
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,judgement,gold,gold,,,0,"The sample feels smooth, fabric. These cues may indicate a fabric-like material.",,"flat, lined, hard",0.04368583925857939,0.0
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,property,gold,gold,,,0,"The surface feels lined, fabric, providing a consistent and stable tactile experience.",,"fabric, coarse, deformable",0.05695389012765513,0.13333333333333333
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,comparison,gold,gold,,,0,"The surface feels lined, grainy, fabric. It closely matches with fabric, grainy, indicating a similar tactile experience.",,"fabric, coarse, deformable",0.038461875130248735,0.1111111111111111
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,judgement,gold,gold,,,0,"The sample feels lined, grainy, fabric. These cues may indicate a fabric-like material.",,"fabric, coarse, deformable",0.04776020403411885,0.125
E1__t2rgbP__rgb0__tpl0__imode_gold,E1,proj_x_noTpl,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,property,gold,gold,,,0,"The surface feels fabric, grainy, providing a consistent and stable tactile experience.",,"sewn, coarse, fabric, deformable",0.05695389012765513,0.125
