setting,key,desc,image_rel,image_path,tid,intent_qtype,intent_mode,used_intent,pred_intent,gold_intent,intent_correct,answer,reference_labels,label,BLEU4,TokenF1
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,property,gold,gold,,,0,"The surface feels hard, flat, splotchy, smooth, providing a consistent and stable tactile experience.",,"smooth, glossy, patterned",0.04776020403411885,0.11764705882352941
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,comparison,gold,gold,,,0,"The surface feels lined, fabric, soft. It closely matches with fabric, grainy, indicating a similar tactile experience.",,"smooth, glossy, patterned",0.032342452920962154,0.0
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,judgement,gold,gold,,,0,"The surface feels cardboard, flat, smooth. These cues may indicate a paper-like material.",,"smooth, glossy, patterned",0.04776020403411885,0.11764705882352941
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,property,gold,gold,,,0,"The surface feels smooth, fabric, providing a consistent and stable tactile experience.",,"flat, lined, hard",0.04789232204309912,0.0
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,comparison,gold,gold,,,0,"The surface feels shiny, woven. It best matches with the reference tactile cues.",,"flat, lined, hard",0.04368583925857939,0.0
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,judgement,gold,gold,,,0,"The sample feels smooth, fabric. These cues may indicate a fabric-like material.",,"flat, lined, hard",0.04368583925857939,0.0
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,property,gold,gold,,,0,"The surface feels lined, grainy, fabric, providing a consistent and stable tactile experience.",,"fabric, coarse, deformable",0.05195151087116781,0.125
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,comparison,gold,gold,,,0,"The surface feels fabric, lined, patterned. It closely matches with the reference tactile labels.",,"fabric, coarse, deformable",0.04776020403411885,0.125
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,judgement,gold,gold,,,0,"The sample feels soft, fabric, lined. These cues may indicate a fabric-like material.",,"fabric, coarse, deformable",0.04776020403411885,0.125
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,property,gold,gold,,,0,"The surface feels soft, fabric, lined, providing a consistent and stable tactile experience.",,"sewn, coarse, fabric, deformable",0.05195151087116781,0.11764705882352941
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,comparison,gold,gold,,,0,"The surface feels soft, fabric, grainy. It closely matches with the reference tactile labels.",,"sewn, coarse, fabric, deformable",0.04776020403411885,0.11764705882352941
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,judgement,gold,gold,,,0,"The sample feels fabric, grainy. These cues may indicate a fabric-like material.",,"sewn, coarse, fabric, deformable",0.05195151087116781,0.125
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,property,gold,gold,,,0,"The surface feels shiny, smooth, providing a consistent and stable tactile experience.",,"flimsy, glossy, sewn",0.04789232204309912,0.0
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,comparison,gold,gold,,,0,"The surface feels fabric, shiny. It closely matches the ""smooth, fabric"" reference.",,"flimsy, glossy, sewn",0.04789232204309912,0.0
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,judgement,gold,gold,,,0,"The sample feels smooth, fabric. These cues may indicate a fabric-like material.",,"flimsy, glossy, sewn",0.04368583925857939,0.0
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"lined, deformable, soft, woven",0.06178110636313397,0.23529411764705882
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,comparison,gold,gold,,,0,"The surface feels soft, lined, fabric. It best matches with the reference tactile cues: fabric, lined, indicating a consistent and stable tactile experience.",,"lined, deformable, soft, woven",0.03293328483822002,0.17391304347826086
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,judgement,gold,gold,,,0,"The sample feels soft, fabric, lined. These cues may indicate a fabric-like material.",,"lined, deformable, soft, woven",0.0567967744513558,0.23529411764705882
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_1398_rgb.jpg,data/ssvtp\images_rgb/image_1398_rgb.jpg,1398,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"soft, lined, fabric",0.11498759556447223,0.375
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_1398_rgb.jpg,data/ssvtp\images_rgb/image_1398_rgb.jpg,1398,comparison,gold,gold,,,0,"The surface feels soft, lined, fabric. It closely matches the fabric, soft, lined reference tactile cues.",,"soft, lined, fabric",0.09103526405546068,0.4
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_1398_rgb.jpg,data/ssvtp\images_rgb/image_1398_rgb.jpg,1398,judgement,gold,gold,,,0,"The sample feels soft, lined, fabric. These cues may indicate a fabric-like material.",,"soft, lined, fabric",0.10571070857151538,0.375
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_1871_rgb.jpg,data/ssvtp\images_rgb/image_1871_rgb.jpg,1871,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"lined, grainy, fabric",0.06178110636313397,0.25
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_1871_rgb.jpg,data/ssvtp\images_rgb/image_1871_rgb.jpg,1871,comparison,gold,gold,,,0,"The surface feels soft, fabric, lined. It matches closely with the reference tactile labels fabric, grainy.",,"lined, grainy, fabric",0.054129891865452646,0.35294117647058826
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_1871_rgb.jpg,data/ssvtp\images_rgb/image_1871_rgb.jpg,1871,judgement,gold,gold,,,0,"The sample feels fabric, wrinkly. These cues may indicate a fabric-like material.",,"lined, grainy, fabric",0.05195151087116781,0.13333333333333333
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_2751_rgb.jpg,data/ssvtp\images_rgb/image_2751_rgb.jpg,2751,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"sewn, soft, fabric",0.06178110636313397,0.25
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_2751_rgb.jpg,data/ssvtp\images_rgb/image_2751_rgb.jpg,2751,comparison,gold,gold,,,0,"The surface feels fabric, smooth, creased. It best matches with the reference tactile cues: fabric, smooth, soft.",,"sewn, soft, fabric",0.04573913556123801,0.23529411764705882
B1__t2t__rgb0__tpl0__imode_gold,B1,no_template,images_rgb/image_2751_rgb.jpg,data/ssvtp\images_rgb/image_2751_rgb.jpg,2751,judgement,gold,gold,,,0,"The material feels lined, grainy, fabric. These cues may indicate a fabric-like material.",,"sewn, soft, fabric",0.04776020403411885,0.13333333333333333
